Fleet No,Reg Plate,Year,Model,Operator,Livery,Status,Notes
1768,HJ24 KAX,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1769,HJ24 KBE,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1770,HJ24 KCN,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1771,HJ24 KCO,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1772,HJ24 KCU,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1773,HJ24 KCV,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1774,HJ24 KCX,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1775,HJ24 KCY,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1776,HJ24 KCZ,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1777,HJ24 KDF,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1778,HJ24 KDK,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1779,HJ24 KDN,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1780,HJ24 KDO,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1781,HJ24 KDU,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1782,HJ24 KDV,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1783,HJ24 RBX,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1784,HJ24 RBZ,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1785,HJ24 RCF,2024,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1786,HJ24 RCO,2024,Alexander-Dennis Enviro400 MMC,More.png,X3.png,In Service,
1787,HJ24 RCU,2024,Alexander-Dennis Enviro400 MMC,More.png,X3.png,In Service,
1788,HJ24 RCV,2024,Alexander-Dennis Enviro400 MMC,More.png,X3.png,In Service,
1789,HJ24 RCX,2024,Alexander-Dennis Enviro400 MMC,More.png,X3.png,In Service,
1790,HJ24 RCY,2024,Alexander-Dennis Enviro400 MMC,More.png,X3.png,In Service,
1791,HJ24 RCZ,2024,Alexander-Dennis Enviro400 MMC,More.png,X3.png,In Service,
1792,HJ25 BYN,2025,Alexander-Dennis Enviro400 MMC,More.png,More2023.png,In Service,
1793,HJ25 BYO,2025,Alexander-Dennis Enviro400 MMC,Damory.png,More2023.png,In Service,
1794,HJ25 BYP,2025,Alexander-Dennis Enviro400 MMC,Damory.png,More2023.png,In Service,
1795,HJ25 BXW,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,TheOne.png,In Service,
1796,HJ25 BXX,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,TheOne.png,In Service,
1797,HJ25 BXY,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,TheOne.png,In Service,
1798,HJ25 BXZ,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,TheOne.png,In Service,
1799,HJ25 BYA,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,TheOne.png,In Service,
1800,HJ25 BYB,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,TheOne.png,In Service,
1801,HJ25 BYC,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,TheOne.png,In Service,
1802,HJ25 BYD,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,TheOne.png,In Service,
1803,HJ25 BYF,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,TheOne.png,In Service,
1804,HJ25 BYG,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,TheOne.png,In Service,
1805,HJ25 BYH,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,BluestarNew.png,In Service,
1806,HJ25 BYK,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,BluestarNew.png,In Service,
1807,HJ25 BYL,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,BluestarNew.png,In Service,
1808,HJ25 BYM,2025,Alexander-Dennis Enviro400 MMC,Bluestar.png,BluestarNew.png,In Service,
1809,HJ25 BYR,2025,Alexander-Dennis Enviro400 MMC,Salisbury.png,SRNew.png,In Service,
1812,YBZ 223,2002,Volvo B7TL East Lancs Vyking,More.png,BeachBreezer.png,In Service,
1813,YBZ 224,2002,Volvo B7TL East Lancs Vyking,More.png,BeachBreezer.png,In Service,
1821,HF54 KXT,2005,Volvo B7TL East Lancs Myllennium Vyking,More.png,RedMore.png,In Service,
1822,HF54 KXU,2005,Volvo B7TL East Lancs Myllennium Vyking,More.png,Purple.png,In Service,
1823,HF54 KXV,2005,Volvo B7TL East Lancs Myllennium Vyking,More.png,NFTRed.png,In Service,
1824,HF54 KXW,2005,Volvo B7TL East Lancs Myllennium Vyking,More.png,NFTRed.png,In Service,
1825,HF05 GGE,2005,Volvo B7TL East Lancs Myllennium Vyking,More.png,RedMore.png,In Service,
1826,HF05 GGJ,2005,Volvo B7TL East Lancs Myllennium Vyking,More.png,NFTBlue.png,In Service,
1827,HF05 GGK,2005,Volvo B7TL East Lancs Myllennium Vyking,More.png,NFTBlue.png,In Service,
