Fleet No,Reg Plate,Year,Model,Operator,Livery,Status,Notes
2777,HF67 ATY,2017,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2778,HF67 ATZ,2017,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2779,HF67 AUA,2017,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2780,HF67 AUC,2017,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2781,HF67 AUE,2017,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2782,HF67 AUH,2017,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2783,HF67 AUJ,2017,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2784,HF67 AUK,2017,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2785,HF67 AUL,2018,Alexander-Dennis Enviro200 MMC,Salisbury.png,Brown.png,Reserve,
2786,HF67 AUM,2018,Alexander-Dennis Enviro200 MMC,Salisbury.png,Brown.png,Reserve,
2787,HF67 AUN,2018,Alexander-Dennis Enviro200 MMC,Salisbury.png,Brown.png,Reserve,
2788,HF67 AUO,2018,Alexander-Dennis Enviro200 MMC,Salisbury.png,Brown.png,Reserve,
2789,HF67 AUP,2018,Alexander-Dennis Enviro200 MMC,Salisbury.png,Brown.png,Reserve,
2790,HF67 AUR,2018,Alexander-Dennis Enviro200 MMC,Salisbury.png,Brown.png,Reserve,
